datadate,Seed 42,Seed 7,Seed 25,Seed 14
2019-08-12,1789001.489013555,1503924.4827656746,1258276.9067743528,1409627.9711815014
2019-08-13,1801620.2873684384,1517312.3548016548,1271898.0735414182,1422180.9937988415
2019-08-14,1752647.349217965,1473553.331161976,1238017.933051949,1384176.8804365292
2019-08-15,1761971.1237674674,1485212.03562212,1246551.627344387,1402367.8581787243
2019-08-16,1783683.9648613522,1505346.9999165535,1262404.8897233424,1418260.2324405804
2019-08-19,1807849.4430407928,1521129.0716900826,1278142.910336801,1430634.611632933
2019-08-20,1817422.775411403,1513290.270107746,1286321.2652475217,1427206.0577999249
2019-08-21,1832120.5127901009,1523995.205433369,1298364.7552140949,1440408.9547859326
2019-08-22,1834450.1729688267,1520337.377315998,1299944.6720014913,1434893.8522049084
2019-08-23,1793501.4841618843,1485090.52932024,1267289.5042089638,1400781.7927356854
2019-08-26,1814829.1498616205,1510156.2750401497,1280499.416263924,1427654.047734846
2019-08-27,1814874.7502909263,1516060.978577137,1278212.0140714082,1438546.6648870602
2019-08-28,1825431.3422850675,1519107.1500439644,1287746.5591057243,1440284.927118887
2019-08-29,1846041.7640528767,1534294.1254353523,1305024.4207355292,1449958.9281774657
2019-08-30,1847151.3037958648,1532293.2958798409,1307067.1717956583,1447388.9215685024
2019-09-03,1835349.8774903985,1519200.941845417,1298590.2280676588,1437696.539691557
2019-09-04,1853963.6584032297,1540622.33772707,1314471.623424604,1458250.1715704098
2019-09-05,1863802.7918315332,1548873.970375538,1325107.5070035218,1465704.6705442562
2019-09-06,1869990.417941613,1546646.4114384651,1329183.914593718,1463779.7718397274
2019-09-09,1859761.9378213088,1547226.2055211067,1316963.471854807,1452800.1289592877
2019-09-10,1850607.032932313,1510362.682446003,1307707.1739125447,1409716.3011976376
2019-09-11,1858497.7255633464,1521499.5120015144,1312699.7901538557,1419875.8254018915
2019-09-12,1867544.062812116,1529340.6974682808,1321630.9530681053,1431929.453592886
2019-09-13,1868132.1196383373,1522810.3317952156,1320075.4274753009,1419403.3235956326
2019-09-16,1863453.9656196707,1530416.7497487068,1316812.25490698,1428388.9902998104
2019-09-17,1870924.9245575608,1552107.346569538,1324521.6722971916,1452163.3531175747
2019-09-18,1865055.645170539,1552934.586540699,1327746.1610627165,1459179.855526556
2019-09-19,1859962.4826395025,1547373.4089970589,1323358.2118669483,1456647.0986553326
2019-09-20,1840890.5970317624,1530242.747917652,1310672.5020527742,1450915.5202737942
2019-09-23,1842710.473215515,1534294.8667798042,1315694.7474067165,1460020.8458629742
2019-09-24,1833059.6710714195,1509331.511238575,1308760.5270572468,1441988.1478429928
2019-09-25,1845237.4306534163,1517193.1716160774,1318347.663564929,1442693.1845012798
2019-09-26,1844885.0774970527,1513166.8534207344,1315831.891760784,1438691.9602628842
2019-09-27,1827823.725021965,1502582.295601368,1298052.8432109049,1423832.2567707195
2019-09-30,1839405.4370373103,1522918.4656300545,1304940.8222299626,1444367.396758665
2019-10-01,1823059.649707148,1507146.0849385262,1288543.9070191423,1429341.5563551085
2019-10-02,1785285.9276020688,1477046.014034748,1265099.445368839,1402761.0512367382
2019-10-03,1800444.9159262918,1488361.3024029732,1277912.9258148682,1415071.4666305676
2019-10-04,1800444.8919677734,1488361.327522755,1277912.9363155365,1415071.492258072
2019-10-07,1810489.575991659,1497981.249054432,1287968.996236177,1425806.0038194656
2019-10-08,1799795.112772039,1479697.523914814,1276296.0566644596,1409984.1326084137
2019-10-09,1812723.9942182088,1498521.8104100227,1285686.469006178,1431205.8183202744
2019-10-10,1824794.095673016,1512285.659374714,1290226.0613012349,1436384.439614296
2019-10-11,1830550.497938908,1521922.956348896,1292175.274376362,1442618.6179504397
2019-10-14,1830387.56099139,1521959.2535061836,1291314.1425037058,1440636.9063653946
2019-10-15,1838928.2792788353,1526525.3766293526,1297178.5335818608,1445446.511546135
2019-10-16,1837455.6413469352,1523945.395599842,1296044.3265082308,1441823.175505638
2019-10-17,1831603.807026402,1530235.6166081429,1293729.516540595,1442213.660170555
2019-10-18,1823088.0599974217,1518288.1409153938,1285370.6195575092,1434438.164308548
2019-10-21,1827734.2914787629,1533813.6614842415,1293790.713734434,1449648.4221315384
2019-10-22,1820149.6510467848,1506926.6563839912,1273400.8541074174,1422061.9453115463
2019-10-23,1810821.1449824255,1485276.7614102364,1269889.5350681923,1391369.3746881485
2019-10-24,1814298.316651104,1496251.7226490974,1272107.7381145032,1408253.41943264
2019-10-25,1812484.0211688725,1494755.4737583655,1270835.6327586025,1406845.1751148405
2019-10-28,1812484.0211688725,1494755.4737583655,1270835.6327586025,1406845.1751148405
2019-10-29,1812484.0211688725,1494755.4737583655,1270835.6327586025,1406845.1751148405
2019-10-30,1812484.0211688725,1494755.4737583655,1270835.6327586025,1406845.1751148405
2019-10-31,1812484.0211688725,1494755.4737583655,1270835.6327586025,1406845.1751148405
2019-11-01,1812484.0211688725,1494755.4737583655,1270835.6327586025,1406845.1751148405
2019-11-04,1812484.0211688725,1494755.4737583655,1270835.6327586025,1406845.1751148405
2019-11-05,1812484.0211688725,1494755.4737583655,1270835.6327586025,1406845.1751148405
2019-11-06,1813182.0162483193,1495370.1707288283,1271079.9530293087,1407508.3401755276
2019-11-07,1811962.9695159893,1495082.1620307462,1270410.8724685165,1406915.5244703717
2019-11-08,1812286.69633483,1496909.4357007523,1270009.7385270467,1406331.1445061152
2019-11-11,1812128.6941278512,1500466.161927845,1270796.4281675662,1411097.571952576
2019-11-12,1812574.3626570865,1507507.007914593,1271290.2941147154,1420079.57108931
2019-11-13,1812626.3349721725,1498344.5163453524,1267585.0746712403,1417600.0371765082
2019-11-14,1812077.5919928057,1502829.6906770174,1266193.171173886,1416075.0059446758
2019-11-15,1817531.8840586792,1516039.029040665,1271197.4762486613,1429552.128871275
2019-11-18,1820042.6835170244,1528303.2801927037,1278732.0218053367,1438105.3789786922
2019-11-19,1819786.1744581691,1524670.5803788607,1274638.1926931124,1435107.192555487
2019-11-20,1823458.837149694,1529014.8650468297,1276546.9847756862,1441837.5141380054
2019-11-21,1821612.6200581384,1530801.7492555089,1274861.953350284,1438440.2823299726
2019-11-22,1823126.2528346656,1530737.7547486727,1276582.9977759684,1438536.7192122652
2019-11-25,1834372.4548355497,1549434.3126100008,1284848.1900540646,1454648.1351095126
2019-11-26,1853367.9766109895,1568207.688334793,1296443.2622795135,1479071.275605339
