Price,Close,High,Low,Open,Volume
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI
Date,,,,,
2016-10-03,18253.849609375,18279.80078125,18203.75,18279.599609375,68520000
2016-10-04,18168.44921875,18313.76953125,18116.259765625,18267.6796875,79710000
2016-10-05,18281.029296875,18315.8203125,18205.5,18205.5,76190000
2016-10-06,18268.5,18288.119140625,18162.970703125,18280.419921875,78660000
2016-10-07,18240.490234375,18319.73046875,18149.349609375,18295.349609375,82680000
2016-10-10,18329.0390625,18399.9609375,18282.94921875,18282.94921875,72110000
2016-10-11,18128.66015625,18312.330078125,18061.9609375,18308.4296875,88610000
2016-10-12,18144.19921875,18193.9609375,18082.08984375,18132.630859375,72230000
2016-10-13,18098.939453125,18137.69921875,17959.94921875,18088.3203125,83160000
2016-10-14,18138.380859375,18261.109375,18138.380859375,18177.349609375,87050000
2016-10-17,18086.400390625,18162.279296875,18063.01953125,18135.849609375,75960000
2016-10-18,18161.939453125,18225.80078125,18129.44921875,18145.060546875,74600000
2016-10-19,18202.619140625,18252.19921875,18169.25,18178.2109375,88040000
2016-10-20,18162.349609375,18249.05078125,18129.0703125,18161.869140625,88830000
2016-10-21,18145.7109375,18168.759765625,18049.76953125,18152.630859375,117810000
2016-10-24,18223.029296875,18275.0390625,18191.1796875,18197.140625,88540000
2016-10-25,18169.26953125,18241.689453125,18151.69921875,18206.51953125,83190000
2016-10-26,18199.330078125,18236.0390625,18062.30078125,18103.80078125,86340000
2016-10-27,18169.6796875,18253.19921875,18149.19921875,18234.810546875,83530000
2016-10-28,18161.189453125,18257.060546875,18094.970703125,18193.7890625,107850000
2016-10-31,18142.419921875,18193.6796875,18130.580078125,18176.599609375,110080000
2016-11-01,18037.099609375,18177.009765625,17940.83984375,18158.240234375,101280000
2016-11-02,17959.640625,18044.150390625,17931.890625,18017.720703125,88610000
2016-11-03,17930.669921875,18006.9609375,17904.0703125,17978.75,77860000
2016-11-04,17888.279296875,17986.759765625,17883.560546875,17928.349609375,97760000
2016-11-07,18259.599609375,18263.30078125,17994.640625,17994.640625,93450000
2016-11-08,18332.740234375,18400.5,18200.75,18251.380859375,79820000
2016-11-09,18589.689453125,18650.060546875,18252.55078125,18317.259765625,173110000
2016-11-10,18807.880859375,18873.66015625,18603.140625,18603.140625,164390000
2016-11-11,18847.66015625,18855.779296875,18736.9609375,18781.650390625,107300000
2016-11-14,18868.689453125,18934.05078125,18815.75,18876.76953125,112250000
2016-11-15,18923.060546875,18925.259765625,18806.060546875,18858.2109375,100660000
2016-11-16,18868.140625,18909.849609375,18825.890625,18909.849609375,87320000
2016-11-17,18903.8203125,18904.029296875,18845.26953125,18866.220703125,89940000
2016-11-18,18867.9296875,18915.740234375,18853.830078125,18905.330078125,109880000
2016-11-21,18956.689453125,18960.759765625,18883.099609375,18898.6796875,80520000
2016-11-22,19023.869140625,19043.900390625,18962.8203125,18970.390625,85310000
